id,description,step_no
476026,香氣一出來，整個鍋就是台味炸鍋的感覺啦,2
476026,熱鍋後下油，先放入薑絲＋蒜末＋辣椒＋蔥段，中小火炒香,3
476026,加入蛤蜊，轉中火快速翻炒,4
476026,接著倒入米酒＋醬油＋水，拌一下，然後蓋鍋悶煮2～3分鐘,5
476026,看到蛤蜊開始打開就是成功一半,6
476026,全部打開後，轉大火拌炒讓湯汁稍微收一點,7
476026,關火前撒入九層塔快速翻一下，馬上起鍋（九層塔不要炒太久會黑,8
477606,小黃瓜洗淨，切去頭尾後切滾刀塊，放入鹽巴抓拌，殺青去澀水，擠乾水分後，蒜頭切成末放入,1
477606,煮一鍋水，待水沸騰後，將玉米筍清洗乾淨，一分為2，放入鍋中川燙3分鐘，撈出備用,2
477606,將處理好的玉米筍,3
477606,小黃瓜及燙熟的鴨胗放入料理碗中，鴨胗可以買市售的，或是用薑蔥蒜進行水煮，放涼後切厚片即可,4
477606,將切好的鴨肉放入料理碗內，鴨肉可以購買市售的，或是川燙鴨胗時一起入水川燙，記得可以放在湯汁中浸泡到水溫降低，這種方式能讓鴨肉吃來軟嫩可口,5
477606,青蔥洗淨切成蔥花，放入鍋中準備做調味動作,6
477606,加入小磨坊蒜香九層塔調香，透過調味料的運用，能夠快速將肉類的香氣提升,7
477606,加入香油提香,8
477606,將所有食材拌勻即可上菜,9
477606,開動嘍,10
475123,九層塔切碎,1
475123,聖女番茄切半,2
475123,雞蛋打散，加入胡椒鹽拌勻,3
475123,小煎鍋用中小火熱鍋加油，加入九層塔番茄拌炒,4
475123,倒入全部蛋液，加入乳酪絲,5
475123,邊加熱邊攪拌，至蛋半熟,6
475123,加蓋維持中小火，烘3分鐘，再轉小火續烘3分鐘,7
475123,至表面烘乾，即可開蓋起出盛盤,8
470056,備料,1
470056,加豆油伯 一湯匙,2
470056,起鍋前加九層塔拌一拌就好了,3
467396,九層塔洗淨加入蛋液攪拌均勻，加入適量的鹽調味即可,1
467396,倒入鍋中煎至金黃色有點微焦即可成盤享用嘍,2
465917,九層塔洗淨（如果要九層塔蛋比較好分食的話，可以將九層塔稍微切碎），雞蛋加點鹽巴打成蛋液後，加入洗淨的九層塔攪拌均勻,1
465917,燒油潤鍋，將九層塔蛋液放入鍋中鋪平，用鏟子稍微翻開蛋的底部，底部煎到金黃色後翻面，用鏟子將剩餘的蛋液壓出煎熟，兩面都煎熟後就完成了,2
476542,在攪拌盆中先加入水,1
476542,油,2
476542,糖,3
476542,酵母,4
476542,麵粉，低速混拌成團後再倒入鹽攪拌混合,5
476542,麵團攪打至可拉出厚膜即可停止整形收圓，靜置於密封盒中發酵約30-35 分鐘,6
476542,將九層塔葉片洗淨，瀝乾水份切成小片狀，加入油,7
476542,糖,8
476542,胡椒鹽拌勻,9
476542,準備灑料需塗抹的糖水，糖+水攪拌融化備用,10
476542,在取出發酵好的麵團上面塗抹少數植物油微整形（較不黏手），撖開成約45X30大小的長方片狀,11
476542,將調味好的,12
476542,餡料平舖至麵團約,13
476542,處,14
476542,把麵皮折至,15
476542,處將餡料蓋住,16
476542,將剩餘餡料平舖上方,17
476542,折回另一邊麵皮將餡料蓋住成長條狀,18
476542,將糖水塗抹至麵團表面，撒上適量白芝麻,19
476542,將長條麵團切分成8份平舖到烤盤上，放置烤箱內發酵約30-35分鐘,20
476542,烤箱預熱至200度烤7分鐘，取出烤盤轉向再烤5-7分鐘，表面微焦上色即可取出,21
467131,將九層塔洗淨，取下九層塔葉切段，量看個人喜好,1
467131,顆蛋加入1小匙玫瑰鹽，加入九層塔葉打成蛋液,2
467131,鐵板加熱至180度，倒一點橄欖油塗佈於鐵板上，將九層塔蛋液倒至鐵板煎至兩面微焦起鍋裝盤,3
475734,將香菇一朵切成4瓣，加入一匙的鹽巴,1
475734,白胡椒粉和雞蛋拌勻，再加入一大匙樹薯粉混合，作為調味及粉漿混合,2
475734,加熱食用油，將裹上樹薯粉的香菇放入鍋中油炸，不要一直翻動，記得等表皮的炸漿呈現酥狀的時候再翻動,3
475734,炸至表皮金黃之後撈出，記得瀝乾多餘油脂，能讓炸皮吃來更酥脆美味,4
475734,上桌前記得撒上小磨坊蒜香九層塔調味調香，透過風味調味料的運用，就算沒有九層塔一樣能夠吃出市售鹽酥雞攤炸香菇的美味,5
475734,開動嘍,6
470474,排骨川燙後沖洗乾淨,1
470474,九層塔骨去掉葉子後洗乾淨，枸杞跟九層塔葉洗淨,2
470474,荸薺去皮洗淨,3
470474,菇撥散備用,4
470474,鍋中加入適量清水跟排骨九層塔骨蓋上鍋蓋中大火煮滾後轉小火煮20分鐘,5
470474,分鐘後加入荸薺煮10分鐘後加入黑蠔菇煮滾，加入枸杞,6
470474,九層塔葉,7
470474,鹽巴跟少許白胡椒粉即可,8
470474,完成,9
467048,先將一半橄欖油,1
467048,九層塔,2
467048,蒜頭放入料理機打成泥,3
467048,將剩下的橄欖油5入鍋加熱後，放入九層塔醬一起炒香，最後再加入白細砂糖,4
467048,醬鹽,5
467048,米酒拌勻入味 ▪️ 白麵條煮熟，盛起擺盤後，將九層塔醬放在白麵上，淋上一小匙黑豆醬油，完成,6
466528,備料,1
466528,先將一半橄欖油,2
466528,九層塔,3
466528,蒜頭放入料理機打成泥,4
466528,將剩下的橄欖油5入鍋加熱後，放入九層塔醬一起炒香，最後再加入白細砂糖,5
466528,醬鹽,6
466528,米酒拌勻入味,7
466528,九層塔醬完成,8
466528,板豆腐同一鍋煎至兩面金黃,9
466528,盛起擺盤後,10
466528,將九層塔醬放在豆腐上，淋上一小匙黑豆醬油，完成,11
463326,碗裡打入2顆蛋，放入洗淨的九層塔葉，鹽，白胡椒粉後，攪拌均勻,1
463326,熱油鍋，倒入蛋液，開中小火慢煎,2
463326,邊邊熟了之後，用鍋鏟試試，底部熟了即可翻面,3
463326,翻面後再煎一下，不黏鍋鏟即完成,4
462631,食材準備,1
462631,蒜頭,2
462631,辣椒剁碎或調理機絞碎,3
462631,醬汁材料全部拌勻備用,4
462631,蒜末,5
462631,辣椒碎+橄欖油入鍋先爆炒,6
462631,爆香,7
462631,加入細豬絞肉，大火炒至豬絞肉粒粒分明,8
462631,再加入蕃茄丁拌炒,9
462631,拌炒均勻後，加入醬汁，中大火炒均勻，稍收汁入味,10
462631,加入九層塔，爆炒均勻,11
462631,呈盤,12
462631,趁熱搭配白飯食用,13
462631,超下飯,14
460775,九層塔切碎,1
460775,薑切末備用,2
460775,碗中加入九層塔,3
460775,薑末,4
460775,湯匙麻油攪拌均勻,5
460775,打入五顆蛋,6
460775,小匙鹽,7
460775,小匙糖打散,8
460775,熱鍋下油，油溫升高後轉小火，下入蛋液,9
460775,蓋上鍋蓋烘1分鐘,10
460775,開鍋蓋稍微晃動後蓋上鍋蓋再悶1分鐘,11
460775,開鍋蓋將蛋翻面，蓋上鍋蓋烘1分鐘,12
460775,開鍋蓋後，轉大火晃動鍋子，讓蛋受熱均勻，完成,13
466042,準備食材（九層塔清洗取葉,1
466042,取一碗，打蛋，將其打散,2
466042,用平底鍋，開小火，加入1大匙的油，倒入蛋液,3
466042,放上吐司（兩片之間可隔一點距離，會比較好翻上,4
466042,再放入起司片與九層塔,5
466042,再把邊緣的蛋液往內折，也把另一面的吐司翻上，疊起來即可,6
466042,起鍋盛盤，撒點現磨黑胡椒粒,7
466042,擺入水果與自己喜愛的蔬菜,8
456490,先將九層塔葉剁碎，放入打好雞蛋的碗裡，加入鹽巴和胡椒粉拌勻,1
456490,熱油下鍋，倒入拌勻的蛋液，兩面煎至金黃色即可上桌,2
472236,先將九層塔剪碎,1
472236,打入兩顆雞蛋並撒些許鹽及胡椒拌勻,2
472236,鍋中倒入多一點點的油熱鍋,3
472236,將雞蛋液倒入,4
472236,兩面半煎半炸至金黃即可取出,5
472236,金黃色澤「九層塔蛋」還帶著九層塔的香氣,6
472236,酥酥脆脆的蛋香～～也太好吃了吧,7
462579,材料如圖,1
462579,板豆腐比較扎實好操作，嫩豆腐不是不行，但需要比較靈巧（很遺憾我沒有）的雙手,2
462579,豆腐切成和油豆腐差不多大小的三角形,3
462579,起司片切小片，九層塔切碎,4
462579,豆腐中間用刀尖劃一個縫縫，塞入起司和九層塔,5
462579,取小碗混合醬油膏和醬油,6
462579,刷一層甜醬油在豆腐表面,7
462579,預熱平底鍋加少許油，有醬油的面朝下放入豆腐，再補抹一點甜醬油,8
462579,每一面都用小火煎個3分鐘或直到表面金黃,9
462579,成品圖,10
461098,湯種水跟粉混合加熱攪拌至65度離火，用保鮮膜覆蓋住降溫備用,1
461098,將所有材料混合均勻攪拌 —基發50分 —分割 個160克 可分6顆 —滾圓鬆弛10分 —整形幹卷呈長形抹上香蒜醬，整成喜歡的形狀，灑上高粉，割三刀,2
461098,後發40分 —烤焙,3
461098,分,4
461098,分,5
456597,九層塔洗淨薑切片蘑菇對切 有機白舞菇手撕,1
456597,熱鍋下1大匙麻油加入薑片煸炒至香味散發,2
456597,加入蘑菇和有機白舞菇翻炒均勻,3
456597,加入醬油,4
456597,加入羅漢果糖炒勻,5
456597,加入九層塔炒香起鍋,6
466635,快煮鍋放入2大匙水和少許油，開啟快煮鍋加熱模式，水開始冒泡後，放入切好的牛肉絲，攪拌均勻後，蓋鍋蓋悶一下,1
466635,蒸氣上來後，再放入洗好的九層塔和切好的辣椒，再攪拌均勻後，放入鹽少許,2
466635,糖少許，蓋上蓋子再悶一下，讓九層塔悶軟,3
466635,悶到葉子微塌下後，用筷子攪拌，不要讓肉沾黏在底部，牛肉會出水，所以不需再額外加水,4
466635,完成,5
459428,九層塔買回來要挑過，這一款青醬用到的九層塔是200克，可以做2瓶大瓶果醬瓶的量，所以在買九層塔的時候要多買，我是買300克，黑掉的不要，梗也不要，所以損耗率大概,1
459428,洗乾淨之後，放於網籃裡，用電風扇吹乾，期間要不時翻動，水分吹乾即可開始打青醬,2
459428,松子用平底鍋開小火慢慢翻炒，至有一些金黃色跟香氣飄出來，即可放涼備用,3
459428,先將松子放到攪拌機稍微攪拌一下，之後將所有食材放進去攪拌器中攪拌,4
459428,打至這個狀態即可裝瓶，千萬不要打過久，因為過熱會讓的青醬發黑,5
468950,九層塔,1
468950,韭菜洗乾淨後，切成碎備用,2
468950,雞蛋,3
468950,九層塔,4
468950,韭菜,5
468950,調味料混合均勻，攪拌至有點打發的狀態,6
468950,鍋子放入由，熱鍋後，一邊攪拌一遍倒入蛋液，然後在蛋成形前，不斷從中間攪拌至外圍，讓蛋液熱度更均勻,7
468950,翻面煎好後，即可起鍋,8
450796,"将買回九層塔,處理,留葉子,诜一下備用 取一碗,蛋打3顆,加盬,酱油備用",1
450796,"起鍋,加點香油炒九層塔,不用太熟,就大約炒葉子變色,即可起鍋",2
450796,倒在蛋液內再一起拌,3
450796,"鍋內下1大匙油,鍋熱,倒入蛋液,慢慢煎完一面,不時動一下鍋子,讓蛋不沾鍋,煎完一面,取一盤子盛起,再倒入换煎另一面",4
450796,"一面約煎3-5分鐘,搖動鍋子,看一下,有煎恰恰感覺,即可起鍋",5
453947,先將薑切成片備用，蒜頭切小塊，辣椒也是（辣味隨個人喜好調整,1
453947,將麻油倒入熱鍋後，加入薑片,2
453947,蒜,3
453947,辣椒下去爆香,4
453947,加入蛤蜊，並將米酒,5
453947,醬油,6
453947,砂糖依序加入拌炒,7
453947,加20ml清水蓋過蛤蜊直到蛤蜊開蓋，再灑上九層塔稍微炒一下即可上桌囉,8
452953,備齊食材～九層塔葉洗淨備用,1
452953,雞蛋打散，胡椒鹽加入蛋液裡拌勻， 再放入九層塔葉混勻備用,2
452953,熱油鍋，倒入混合好的蛋液，再放上蛋餅皮,3
452953,煎至蛋液凝固，翻面煎至金黃色，對折捲起即可起鍋,4
467438,先準備好150g的水手牌法國麵包粉,1
467438,將水98g與酵母,2
467438,g跟糖15g放入碗中拌勻,3
467438,拌勻後接著放入鹽，一樣拌勻即可,4
467438,等待約15-20分鐘使酵母活化,5
467438,接著將酵母水與法國麵包粉一起攪和均勻,6
467438,大約攪和成圖樣即可,7
467438,接著用手揉成麵團,8
467438,進入發酵階段,9
467438,第一階段，發酵一個小時,10
467438,麵糰內加入葵花油，將油與麵糰揉合至光滑,11
467438,使麵糰排氣體,12
467438,揉成糰，進入二次發酵30分鐘,13
467438,發酵完成，檯面上鋪上適當麵粉，將麵糰倒入,14
467438,將麵糰鋪平，用桿麵棍或是用手鋪平都可以,15
467438,鋪上乳酪,16
467438,鋪上番茄羅勒醬，喜歡香料的人可以灑上黑胡椒粒,17
467438,喜愛香辣的人也可以加入辣椒,18
467438,將麵糰捲起來，將開口捏緊密,19
467438,用刮刀在麵體上做刻痕,20
467438,將麵包捲起來，進烤箱220度20分鐘,21
467438,完成，出爐嘍,22
449605,九層塔一葉一葉摘下 洗淨 加入蛋液 鹽巴 攪拌均勻,1
449605,油鍋燒熱後 下蛋液,2
449605,煎至兩面金黃,3
449605,捲起 切塊,4
449605,成盤灑上白芝麻即可享用,5
379428,先將鍋子用中火稍微熱一下，加入油讓整個鍋子抹上油後，加入薑爆香，將處理過蛤蜊瀝乾放入鍋中稍微翻炒一下，加入高湯蓋上鍋蓋，6分鐘後,1
379428,加入鹽與米酒再燜1分鐘就可以起鍋囉,2
448142,九層塔洗好，把蛋打勻的時候放適量的鹽巴,1
448142,中火鍋熱放油把蛋和九層塔都放入炒熟,2
448142,可省略）最後鍋邊嗆一點醬油增加香味,3
450744,油鍋薑絲蒜末爆香，加入麵腸炒至金黃色,1
450744,加入九層塔翻炒，加入一點米酒,2
450744,醬油，翻炒至香味撲鼻即可,3
452410,華盛頓加拉蘋果是我這次使用的蘋果產地來源,1
452410,雞蛋打成蛋液加入九層塔及切碎華盛頓加拉蘋果加入蛋液中，再加入鹽巴調味,2
452410,油先熱再把蛋液倒入鍋中,3
452410,煎到蛋液快乾的時候再撒上起司粉翻面,4
452410,等到這一面也微焦後就差不多了,5
452410,放入盤子中,6
458405,烤模四周抹油，倒入麵粉並且轉動烤模，讓所有麵粉平均分布在烤模上，多餘麵粉倒出，並且在底部剪一個圓形烘焙紙,1
458405,雞蛋打散與砂糖放好，放置室溫，可加入香草籽醬,2
458405,預熱200度,3
458405,奶油，羅勒葉（小磨坊的那種），煉乳和蜂蜜加熱到全部溶化，並且拌勻，拌勻後關火 狀態會是與蜂蜜本身的稠度類似（沒拍到抱歉QQ,4
458405,全蛋跟砂糖打發到這樣 紋路可以停留起碼20秒以上,5
458405,篩入低筋麵粉和杏仁粉翻拌均勻，由下往上不要多次胡攪蠻纏，拌勻了就停下動作,6
458405,再次加熱蜂蜜那一鍋 跟步驟４一樣,7
458405,取一點麵糊到蜂蜜那一區，快速拌勻,8
458405,將蜂蜜那一個倒回主麵糊，跟步驟６一樣，且切拌不會超過十下,9
458405,倒入烤模，用竹籤畫個幾圈後，以180度烤43分鐘後就可出爐,10
458405,將其倒扣放涼,11
458405,脫模後就可享用,12
449881,在打好的蛋液加一點點鹽，平底鍋加油熱鍋後，倒入蛋液,1
449881,倒入九層塔，再倒入白飯，翻炒攪勻,2
449881,倒入醬油，翻炒至白飯都變黃色,3
449881,鍋底有薄脆鍋巴，即完成,4
446878,九層塔洗好，把蛋打勻的時候放適量的鹽巴,1
446878,中火鍋熱放油把蛋和九層塔都放入炒熟後，最後鍋邊嗆一點醬油增加香味,2
446878,就可以盛盤了，快速完成的料理,3
465464,黑麻油熱鍋後，加入蒜,1
465464,薑爆香,2
465464,炒出香氣後，放入蛤蠣,3
465464,放入所有調味料，蓋上鍋蓋，大火悶煮至蛤蠣打開,4
465464,起鍋前，放入九層塔,5
465464,蔥跟烏醋，拌一拌即可起鍋,6
464974,蚵仔用清水洗乾淨，晾乾備用,1
464974,蚵仔沾上地瓜粉後，中高油溫下鍋酥炸,2
464974,浮起來後，即可撈起,3
464974,放入九層塔高溫炸脆，即可撈起，撒上胡椒粉食用,4
453640,將櫛瓜切成絲，愈細愈好，這樣比較快熟,1
453640,利用麵粉,2
453640,櫻花蝦,3
453640,雞蛋,4
453640,吻仔魚,5
453640,胡蘿蔔絲,6
453640,櫛瓜調成麵糊，鹽巴,7
453640,糖,8
453640,胡椒粉放入，攪拌均勻,9
453640,用1大匙油放入鍋中，開中火 ，把調好麵糊放入，將九層塔放在上面，用鍋鏟將麵糊均勻攤平，二面煎成金黃即可,10
453640,九層塔海鮮櫛瓜煎餅】外酥內軟，超美味的,11
464260,將九層塔清洗乾淨,1
464260,如果使用生核桃的話，事先將核桃放入乾鍋中翻炒至出現堅果油香，也可以使用任何您喜歡的堅果取代,2
464260,將所有食材放進食物處理機，或使用攪拌棒攪拌至質地均勻,3
464260,全素的九層塔核桃青醬，希望您會喜歡,4
464260,如果您對九層塔核桃青醬的運用有興趣，歡迎參考我的「青豆青醬義大利麵」食譜，非常謝謝您的閱讀,5
464260,https,6
464260,icook,7
464260,tw,8
464260,recipes,9
452414,華盛頓翠玉蘋果為這次的食材蘋果來源,1
452414,先備妥食材，將雞胸肉切成丁狀加入醬油,2
452414,糖,3
452414,蓮藕粉跟蘋果泥醃10分鐘,4
452414,洋蔥,5
452414,胡蘿蔔一起切丁狀拌炒到半熟，再加入雞肉跟蘋果丁及蒜頭,6
452414,倒入醬油,7
452414,砂糖跟水煨煮到雞肉變熟,8
452414,加入九層塔葉，繼續煨煮至雞肉熟透,9
452414,今天午餐的一道菜就出自我的手啦,10
454884,奶油放在室溫軟化備用，蒜頭和九層塔洗淨並擦乾水分， 所有食材＜奶油除外＞放入玻璃調理杯中攪碎，愈細愈好,1
454884,完成後放入調味料拌勻,2
454884,最後放入切小塊的軟化奶油打勻， 奶油會黏在玻璃杯邊緣，可以使用刮刀刮下來再繼續打至奶油蓬鬆即可,3
454884,九層塔香蒜奶油抹醬完成囉,4
454884,直接抹在厚片吐司烘烤，160度烤 3 分鐘,5
454884,度再烤 3 分鐘,6
454884,九層塔及蒜香，香氣十足，外酥內軟的厚片吐司真的超好吃~ 當早餐當點心都很不錯喲,7
454884,多做一些直接抹在厚片吐司上，用保鮮膜包起來放至保鮮盒中再冷凍保存， 想吃時不用退冰直接取出烘烤，就像新鮮現做的一樣好吃,8
460562,茄子洗淨切段，每段再剖成4辦，擺入深盤中，茄子表面噴上薄薄一層油備用,1
460562,茄子蓋上微波專用蓋放入微波爐700瓦3分鐘馬上取出開蓋,2
460562,將所有醬料料放小碗中拌勻,3
460562,將醬汁淋在茄子上即可上桌享用,4
445241,準備好食材,1
445241,將九層塔,2
445241,薑,3
445241,蔥,4
445241,白醋,5
445241,米酒,6
445241,香油，放在碗裡備用,7
445241,鍋中放入豆腐,8
445241,蚵仔，煮5分鐘,9
445241,撈出浮沫和雜質，可以讓湯品更加純淨和美味,10
445241,將煮好的豆腐蚵仔湯倒入備用的食材碗中，美味的蛤蜊蚵仔湯完成囉,11
